Title,Description 
7 Cities With Unexpectedly Awesome Architecture, https://img.huffingtonpost.com/asset/5a26e30d1900003f2c034a9c.jpeg 
These 6 Cities Make The Perfect Alternative Getaways, https://img.huffingtonpost.com/asset/59cbd4d32d0000dd0230769b.jpeg 
Never Order A Latte In The Afternoon: The Rules Of Drinking Coffee In Italy, https://img.huffingtonpost.com/asset/598888361400002000ecf82f.jpeg 
Chrissy Teigen Wore A Casual Version Of JLos Infamous Grammys Dress, https://img.huffingtonpost.com/asset/5989bcd715000021008b58f9.png 
Terme Di Saturnia Is Bound To Be Your New Happy Place, https://img.huffingtonpost.com/asset/5988c26822000044001a4d3e.png 
5 Trips Every Bookworm Should Take, https://img.huffingtonpost.com/asset/5963d0d62100001600fc62bf.jpg 
The Obamas Ate A Legendary Italian Meal Thatd Make Aziz Ansari Proud, https://img.huffingtonpost.com/asset/5936f1c82200002d00c6c958.png 
Cooking Off the Cuff: Luscious Asparagus Lasagne – Twitter Points the Way to Dinner, https://img.huffingtonpost.com/asset/590fa88d140000e816f8badf.jpg 
Cooking Off the Cuff: An Adriatic Memory - Baccalà Mantecato, https://img.huffingtonpost.com/asset/58ffbe5a2600001900c47b48.jpg 
International Travel: Opera Luxurious Lodging and Great Food in Venice Italy, https://img.huffingtonpost.com/asset/58ea62652c00002400ff30f2.jpg 
International Travel: Trieste Italy – Multicultural Dining and a Grand Sea-Front Hotel, https://img.huffingtonpost.com/asset/58e0e6691400002300072d6d.jpg 
The 17 Most Photogenic Vacation Spots On The Planet, https://img.huffingtonpost.com/asset/58d95e921d000027007d0b9a.jpeg 
Here Are The Travel Destinations Everyone Was Searching For In 2016, https://img.huffingtonpost.com/asset/58580f9d1200008310ef0157.jpeg 
Norcia: Gastronomic Delights and Tragic Earthquake, http://i.huffpost.com/gen/1747416/images/n-171720729-628x314.jpg 
Alberobello Italy Travel Unesco World Heritage Site, http://i.huffpost.com/gen/1634541/images/n-ALBEROBELLO-628x314.jpg 
